"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","M03_用户管理模块（单接口）","4","0","C06_新增用户","0"
"0","","0","M03_用户管理模块（单接口）","4","0","C08_删除用户","0"
"0","","0","","1","0","","0"
"0","","0","M01_电子商务管理系统（业务场景）","5","0","C01_商品列表到下单支付流程","0"
"0","","0","M02_商品管理（单接口）","1","0","C04_提交订单","0"
"0","","0","M02_商品管理（单接口）","1","0","C02_获取商品列表","0"
"0","","0","M02_商品管理（单接口）","1","0","C03_获取商品详情信息","0"
"0","","0","M03_用户管理模块（单接口）","1","0","C07_修改用户","0"
"0","","0","M02_商品管理（单接口）","1","0","C05_订单支付","0"
"0","","0","M03_用户管理模块（单接口）","1","0","C09_查询用户","0"
